,Unnamed: 0_album,Album,Song_Name,Formatted_name,lyrics,song_clean,album_clean,Unnamed: 0_spotify,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
10,11,Midnights,Mastermind,Mastermind,"Once upon a time, the planets and the fates And all the stars aligned You and I ended up in the same room At the same time And the touch of a hand lit the fuse Of a chain reaction of countermoves To assess the equation of you Checkmate, I couldnt lose What if I told you none of it was accidental? And the first night that you saw me Nothing was gonna stop me I laid the groundwork, and then Just like clockwork The dominoes cascaded in a line What if I told you Im a mastermind? And now youre mine It was all by dеsign Cause Im a mastermind You see, all the wisеst women Had to do it this way Cause we were born to be the pawn In every lovers game If you fail to plan, you plan to fail Strategy sets the scene for the tale Im the wind in our free-flowing sails And the liquor in our cocktails What if I told you none of it was accidental? And the first night that you saw me I knew I wanted your body I laid the groundwork, and then Just like clockwork The dominoes cascaded in a line What if I told you Im a mastermind? And now youre mine It was all my design Cause Im a mastermind You might also like No one wanted to play with me as a little kid So Ive been scheming like a criminal ever since To make them love me and make it seem effortless This is the first time Ive felt the need to confess And I swear Im only cryptic and Machiavellian Cause I care So I told you none of it was accidental And the first night that you saw me Nothing was gonna stop me I laid the groundwork, and then Saw a wide smirk on your face You knew the entire time You knew that Im a mastermind And now youre mine Yeah, all you did was smile Cause Im a mastermind25",mastermind,midnights,167,Mastermind,Midnights,2022-10-21,13,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,72,191039
11,12,Midnights,LavenderHaze,Lavender Haze,"Meet me at midnight Staring at the ceiling with you Oh, you dont ever say too much And you dont really read into My melancholia I been under scrutiny (Yeah, oh, yeah) You handle it beautifully (Yeah, oh, yeah) All this shit is new to me (Yeah, oh, yeah) I feel the lavender haze creeping up on me Surreal Im damned if I do give a damn what people say No deal The 1950s shit they want from me I just wanna stay in that lavender haze All they keep asking me (All they keep asking me) Is if Im gonna be your bride The only kinda girl they see (Only kinda girl they see) Is a one-night or a wife I find it dizzying (Yeah, oh, yeah) Theyre bringing up my history (Yeah, oh, yeah) But you werent even listening (Yeah, oh, yeah) I feel the lavender haze creepin up on me Surreal Im damned if I do give a damn what people say No deal The 1950s shit they want from me I just wanna stay in that lavender haze You might also like That lavender haze Talk your talk and go viral I just need this love spiral Get it off your chest Get it off my desk (Get it off my desk) Talk your talk and go viral I just need this love spiral Get it off your chest Get it off my desk I feel (I feel), the lavender haze creeping up on me Surreal Im damned if I do give a damn what people say No deal (No deal) The 1950s shit they want from me I just wanna stay in that lavender haze Get it off your chest Get it off my desk That lavender haze I just wanna stay I just wanna stay in that lavender haze35",lavenderhaze,midnights,155,Lavender Haze,Midnights,2022-10-21,1,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,77,202395
12,29,FearlessPlatinumEdition,Fifteen,Fifteen,,fifteen,fearlessplatinumedition,531,Fifteen,Fearless (Platinum Edition),2008-11-11,8,5Ora3Ish2A1JN5veGYTxhw,spotify:track:5Ora3Ish2A1JN5veGYTxhw,0.0728,0.559,0.636,0.0,0.144,-4.4,0.0263,95.485,0.214,40,294346
13,30,FearlessPlatinumEdition,SuperStar,Super Star,,superstar,fearlessplatinumedition,528,SuperStar,Fearless (Platinum Edition),2008-11-11,5,0XfTh16YcKPzdxMPTeKTAq,spotify:track:0XfTh16YcKPzdxMPTeKTAq,0.367,0.61,0.531,0.0,0.351,-6.123,0.0239,85.979,0.228,38,261453
14,31,FearlessPlatinumEdition,Change,Change,,change,fearlessplatinumedition,542,Change,Fearless (Platinum Edition),2008-11-11,19,3gFaNwyiafgUoQhR0pHYA9,spotify:track:3gFaNwyiafgUoQhR0pHYA9,0.00471,0.548,0.756,0.0,0.117,-4.175,0.036,96.038,0.224,40,281053
15,32,FearlessPlatinumEdition,TheBestDay,The Best Day,,thebestday,fearlessplatinumedition,541,The Best Day,Fearless (Platinum Edition),2008-11-11,18,7CjuAoOiSrwWv7wJonAUmw,spotify:track:7CjuAoOiSrwWv7wJonAUmw,0.611,0.664,0.447,1e-06,0.139,-8.535,0.0292,126.079,0.364,40,245346
16,33,FearlessPlatinumEdition,HeyStephen,Hey Stephen,,heystephen,fearlessplatinumedition,533,Hey Stephen,Fearless (Platinum Edition),2008-11-11,10,3CI1f4yLwdHzcUnH7o0Xyh,spotify:track:3CI1f4yLwdHzcUnH7o0Xyh,0.168,0.843,0.553,2.66e-06,0.107,-7.348,0.0317,115.997,0.825,43,254320
17,34,FearlessPlatinumEdition,TellMeWhy,Tell Me Why,,tellmewhy,fearlessplatinumedition,537,Tell Me Why,Fearless (Platinum Edition),2008-11-11,14,4x7Gxk2GfwZJcqpoVT1PbR,spotify:track:4x7Gxk2GfwZJcqpoVT1PbR,0.0606,0.601,0.852,3.41e-06,0.37,-3.096,0.0386,100.015,0.513,40,200560
18,35,FearlessPlatinumEdition,Forever_Always_PianoVersion_,Forever Always Piano Version,,foreveralwayspianoversion,fearlessplatinumedition,526,Forever & Always - Piano Version,Fearless (Platinum Edition),2008-11-11,3,13MAWVUSkbGMUi6I7RowRK,spotify:track:13MAWVUSkbGMUi6I7RowRK,0.852,0.592,0.16,0.0,0.116,-10.785,0.0347,118.929,0.294,41,267506
19,36,FearlessPlatinumEdition,YouBelongWithMe,YouBelongWithMe,,youbelongwithme,fearlessplatinumedition,535,You Belong With Me,Fearless (Platinum Edition),2008-11-11,12,4kgTdThcDHfuDS2kKxB7Lc,spotify:track:4kgTdThcDHfuDS2kKxB7Lc,0.164,0.687,0.771,2.46e-05,0.112,-4.424,0.0384,129.964,0.445,57,231146
