,Album,Song_Name,Formatted_name
131,Folklore,hoax,Hoax
132,Folklore,madwoman,madwoman
133,Folklore,illicitaffairs,Illicit Affairs
134,Evermore,tisthedamnseason,tisthedamnseason
135,Evermore,evermore,Evermore
136,Evermore,happiness,Happiness
137,Evermore,tolerateit,Tolerate It
138,Evermore,willow,willow
139,Evermore,marjorie,marjorie
140,Evermore,ivy,Ivy
141,Evermore,dorothea,Dorothea
142,Evermore,closure,Closure
143,Evermore,cowboylikeme,Cowboy Like Me
144,Evermore,longstoryshort,Long Story Short
145,Evermore,goldrush,goldrush
146,Evermore,nobody_nocrime,Nobody No Crime
147,Evermore,champagneproblems,Champagne Problems
148,Evermore,coneyisland,Coney Island
149,SpeakNow,Mine,Mine
150,SpeakNow,SpeakNow,Speak Now
151,SpeakNow,NeverGrowUp,Never Grow Up
152,SpeakNow,TheStoryOfUs,The Story of Us
153,SpeakNow,BetterThanRevenge,BetterThanRevenge
154,SpeakNow,LastKiss,Last Kiss
155,SpeakNow,SparksFly,Sparks Fly
156,SpeakNow,BacktoDecember,Back to December
157,SpeakNow,DearJohn,Dear John
158,SpeakNow,Enchanted,Enchanted
159,SpeakNow,Mean,Mean
160,SpeakNow,Haunted,Haunted
161,SpeakNow,Innocent,Innocent
162,SpeakNow,LongLive,Long Live
163,THETORTUREDPOETSDEPARTMENT,DownBad,Down Bad
164,THETORTUREDPOETSDEPARTMENT,ICanDoItWithABrokenHeart,I Can Do It With a Broken Heart
165,THETORTUREDPOETSDEPARTMENT,GuiltyasSin_,Guilty as Sin
166,THETORTUREDPOETSDEPARTMENT,Florida___,Florida___
167,THETORTUREDPOETSDEPARTMENT,ButDaddyILoveHim,But Daddy I Love Him
168,THETORTUREDPOETSDEPARTMENT,ClaraBow,ClaraBow
169,THETORTUREDPOETSDEPARTMENT,loml,loml
170,THETORTUREDPOETSDEPARTMENT,TheAlchemy,The Alchemy
171,THETORTUREDPOETSDEPARTMENT,MyBoyOnlyBreaksHisFavoriteToys,My Boy Only Breaks His Favorite Toys
172,THETORTUREDPOETSDEPARTMENT,TheTorturedPoetsDepartment,The Tortured Poets Department
173,THETORTUREDPOETSDEPARTMENT,SoLong_London,SoLong_London
174,THETORTUREDPOETSDEPARTMENT,ICanFixHim_NoReallyICan_,I Can Fix Him No Really I Can
175,THETORTUREDPOETSDEPARTMENT,WhosAfraidofLittleOldMe_,Who's Afraid of Little Old Me
176,THETORTUREDPOETSDEPARTMENT,Fortnight,Fortnight
177,THETORTUREDPOETSDEPARTMENT,FreshOutTheSlammer,Fresh Out The Slammer
178,THETORTUREDPOETSDEPARTMENT,TheSmallestManWhoEverLived,The Smallest Man Who Ever Lived
